avg_ratings,num_pages,num_ratings,num_reviews,publish_date,Young Adult,Thriller,Science Fiction,Paranormal,Fantasy,Novels,Historical,Fiction,Crime,Adult,Mystery,Nonfiction,Philosophy,Romance,Suspense,History,Classics,Childrens,Psychology,Contemporary,Literature,Biography,Humor,Cultural,Historical Fiction,Horror,publish_year,publish_month,num_awards,kindle_price
3.92,370.0,"1,982",136,2002-01-07 00:00:00,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2002,1,0,$7.99
4.1,480.0,"7,693",582,2001-09-17 00:00:00,False,True,False,False,False,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,2001,9,6,$7.99
3.84,368.0,"1,298",46,2002-11-10 00:00:00,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2002,11,0,$7.99
3.75,288.0,"10,851",638,2001-11-19 00:00:00,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2001,11,0,
4.17,337.0,"76,009","3,172",2002-02-18 00:00:00,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2002,2,2,$8.99
4.16,337.0,"99,731","1,876",2002-06-17 00:00:00,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2002,6,0,$8.99
3.69,291.0,"1,741",139,2002-08-19 00:00:00,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2002,8,0,$9.99
3.88,352.0,"2,345",166,2002-04-15 00:00:00,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2002,4,0,$9.99
3.95,384.0,553,52,2002-01-07 00:00:00,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2002,1,3,$7.99
3.84,288.0,"13,258",627,2002-02-18 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2002,2,0,$9.99
3.98,276.0,"21,147","1,387",2002-08-19 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2002,8,0,$9.99
3.75,288.0,"9,633",537,2002-12-15 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2002,12,0,$9.99
