Unnamed: 0,avg_ratings,num_pages,num_ratings,num_reviews,publish_date,Unnamed: 9,year,date_key,Young Adult,Thriller,Science Fiction,Paranormal,Fantasy,Novels,Historical,Fiction,Crime,Adult,Mystery,Nonfiction,Philosophy,Romance,Suspense,History,Classics,Childrens,Psychology,Contemporary,Literature,Biography,Humor,Cultural,Historical Fiction,Horror,publish_year,publish_month,num_awards,Unnamed: 67
367,4.14,333.0,"74,151","5,559",2/18/2014 0:00,02-18,2014,2017-02-18,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2014,2,0,
408,3.82,299.0,"15,486","3,394",9/16/2014 0:00,09-16,2014,2017-09-16,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2014,9,2,
418,4.78,196.0,9,0,3/29/2014 0:00,03-29,2014,2017-03-29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,3,0,
431,4.08,231.0,59,23,8/13/2014 0:00,08-13,2014,2017-08-13,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,8,0,
437,4.32,,38,12,5/30/2014 0:00,05-30,2014,2017-05-30,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,5,0,
438,4.54,,13,6,2/24/2014 0:00,02-24,2014,2017-02-24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,2,0,
443,3.99,268.0,447,106,4/17/2014 0:00,04-17,2014,2017-04-17,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,4,0,
453,3.84,452.0,"50,757","8,126",4/1/2014 0:00,04-01,2014,2017-04-01,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,4,1,
455,3.98,335.0,"1,215",103,9/19/2014 0:00,09-19,2014,2017-09-19,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2014,9,0,
466,3.73,325.0,"6,876","1,364",12/9/2014 0:00,12-09,2014,2017-12-09,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,12,0,
468,3.93,368.0,"33,361","5,769",11/4/2014 0:00,11-04,2014,2017-11-04,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,11,0,
469,3.53,445.0,781,72,8/31/2014 0:00,08-31,2014,2017-08-31,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,8,0,
516,4.51,417.0,"31,386","2,729",8/19/2014 0:00,08-19,2014,2017-08-19,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,8,0,
520,4.11,384.0,"22,288","3,382",4/15/2014 0:00,04-15,2014,2017-04-15,True,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,2014,4,1,
538,3.88,315.0,330,27,12/26/2014 0:00,12-26,2014,2017-12-26,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,12,0,
568,3.87,366.0,"23,061","2,251",1/1/2014 0:00,01-01,2014,2017-01-01,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,1,0,
630,3.74,352.0,"51,196","8,017",1/28/2014 0:00,01-28,2014,2017-01-28,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,1,2,
665,4.24,566.0,"1,673",172,9/27/2014 0:00,09-27,2014,2017-09-27,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2014,9,0,
678,4.08,,59,10,3/2/2014 0:00,03-02,2014,2017-03-02,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,3,0,
685,3.91,338.0,"2,915",324,3/15/2014 0:00,03-15,2014,2017-03-15,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,3,0,
715,3.98,340.0,126,32,5/29/2014 0:00,05-29,2014,2017-05-29,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,5,0,
716,3.39,,"1,084",144,12/12/2014 0:00,12-12,2014,2017-12-12,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2014,12,0,
737,4.16,191.0,83,36,6/19/2014 0:00,06-19,2014,2017-06-19,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,6,0,
786,4.45,108.0,53,16,10/21/2014 0:00,10-21,2014,2017-10-21,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2014,10,0,
